interact_mark_enemy,Press $0 to mark target enemy.,Нажмите $0 для отметки врага.,,,,,,,按$0标记敌人。,,,,,
interact_mark_delete,Press $0 to end mark.,Нажмите $0 для снятия метки с врага.,,,,,,,按$0结束标记。,,,,,
creature_hp,HP,ОЗ,,,,,,,生命值,,,,,
creature_is_dead,dead,Мёртв,,,,,,,已死亡,,,,,
damage_multipliers,Damage Multipliers,Множители урона,,,,,,,伤害有效系数,,,,,
all_protection,protection from all,,,,,,,,全面保护,,,,,
all_protection_des,Invincible. Won't be damaged.,,,,,,,,无敌，不会受到伤害。,,,,,
electricity_immunity,electricity immunity,,,,,,,,雷电免疫,,,,,
electricity_immunity_des,The enemy is immune to the stunning effect of electricity, as well as electrical damage.,,,,,,,,免疫来自雷电的伤害和麻痹效果,,,,,
explosion_immunity,explosion immunity,,,,,,,,爆炸免疫,,,,,
explosion_immunity_des,The enemy cannot take explosive damage, nor can they be knocked back or stunned by explosions.,,,,,,,,不会受到来自爆炸的伤害以及击退，击晕效果,,,,,
fire_immunity,fire immunity,,,,,,,,火焰免疫,,,,,
fire_immunity_des,The enemy cannot be harmed by fire damage, and any burns will be quickly extinguished and deal no damage.,,,,,,,,免疫火焰伤害。点燃状态也不会造成伤害，并且会被很快驱散。,,,,,
freeze_immunity,freeze immunity,,,,,,,,冰冻免疫,,,,,
freeze_immunity_des,Enemies with this immunity do not take ice damage, and cannot be frozen.,,,,,,,,免疫冰冻伤害和冰冻状态,,,,,
melee_immunity,melee immunity,,,,,,,,近战免疫,,,,,
melee_immunity_es,The enemy takes no damage or knockback from melee.,,,,,,,,免疫来自近战攻击的伤害和击退。,,,,,
poly_immunity,polymorph immunity,,,,,,,,变形免疫,,,,,
poly_immunity_des,The enemy cannot be polymorphed, with either materials or spells, the effect is simply ignored.,,,,,,,,不会被变形。,,,,,
radioactivity_immunity,toxic immunity,,,,,,,,绿毒免疫,,,,,
radioactivity_immunity_des,The enemy takes no damage from being stained by Toxic Sludge.The material damages associated with Toxic will be overridden and set to 0.,,,,,,,,免疫来自绿毒的沾染状态的伤害，绿毒相关的材料伤害被置零。,,,,,
touchmagic_immunity,touch immunity,,,,,,,,点金免疫,,,,,
impact_immunity,impact immunity,,,,,,,,物理击打免疫,,,,,
curse_immunity,venomous curse immunity,Ядовитое проклятие ~,,,,,,,猛毒诅咒免疫,,,,,
